Designator,Mid X,Mid Y,Rotation,Layer
C101,152.48,-98.16,0.0,top
C102,167.0,-96.4,180.0,top
C103,163.85,-92.55,270.0,top
C104,160.95,-94.8,0.0,top
J101,147.786,-97.576,180.0,bottom
J102,178.266,-97.576,180.0,bottom
J103,172.0,-96.775,90.0,top
R101,163.6,-89.0,270.0,top
R102,167.8,-86.8,180.0,top
U101,167.2,-91.816,90.0,top
U102,154.185,-92.66,180.0,top
Y101,160.95,-92.4,180.0,top
